0
medio
medio
medio
alto
medio
medio
medio
medio
medio
medio
bajo
medio
medio
medio
bajo
medio
alto
alto
medio
medio
alto
bajo
alto
bajo
bajo
alto
medio
alto
medio
medio
medio
alto
medio
alto
medio
alto
alto
bajo
alto
bajo
medio
medio
medio
medio
alto
medio
medio
bajo
medio
medio
medio
alto
medio
bajo
medio
medio
medio
medio
alto
bajo
bajo
alto
bajo
medio
medio
medio
bajo
alto
alto
medio
bajo
bajo
medio
medio
medio
medio
medio
medio
alto
bajo
medio
alto
medio
bajo
alto
medio
medio
medio
alto
medio
bajo
medio
alto
medio
bajo
bajo
alto
alto
alto
medio
medio
medio
medio
bajo
bajo
medio
medio
alto
bajo
bajo
medio
medio
alto
alto
alto
bajo
bajo
medio
medio
medio
medio
medio
alto
alto
alto
alto
medio
bajo
medio
medio
alto
medio
medio
bajo
alto
medio
medio
medio
medio
medio
medio
alto
medio
alto
alto
alto
medio
bajo
bajo
medio
alto
bajo
medio
bajo
bajo
medio
medio
bajo
alto
bajo
medio
medio
medio
bajo
alto
medio
medio
bajo
medio
medio
medio
bajo
bajo
bajo
bajo
alto
bajo
alto
bajo
medio
alto
medio
medio
medio
medio
medio
medio
medio
medio
medio
medio
bajo
medio
medio
medio
medio
bajo
medio
medio
bajo
bajo
medio
medio
medio
alto
bajo
medio
medio
alto
bajo
medio
medio
medio
medio
medio
bajo
alto
medio
alto
medio
bajo
medio
bajo
medio
bajo
bajo
medio
alto
bajo
alto
medio
alto
alto
medio
bajo
alto
medio
medio
medio
medio
medio
alto
bajo
alto
medio
bajo
bajo
medio
alto
bajo
medio
alto
alto
alto
bajo
medio
alto
medio
medio
medio
bajo
medio
medio
medio
bajo
bajo
medio
medio
alto
medio
bajo
bajo
alto
bajo
medio
medio
medio
alto
alto
alto
medio
alto
bajo
alto
medio
alto
medio
alto
alto
bajo
medio
medio
medio
bajo
alto
medio
medio
medio
alto
bajo
medio
medio
alto
medio
alto
bajo
bajo
bajo
bajo
medio
medio
bajo
